id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5348547,Charming apt in The National Park,23178281,Henrik,,Östermalms,59.3727,18.0539,Entire home/apt,1016,7,4,2021-08-10,0.05,1,0,1,
5362220,New production apartment of 60 sqm  in Kungsholmen,27797274,Orhan,,Kungsholmens,59.33519,18.01226,Entire home/apt,860,1,49,2022-04-07,0.59,1,0,5,
5366184,Quiet location close to the city,3945180,Carin,,Bromma,59.32599,17.94654,Entire home/apt,1107,7,5,2017-08-31,0.06,4,303,0,
5372814,Exclusive 2 room apartment in City.,27851968,Daniel,,Kungsholmens,59.33769,18.02702,Entire home/apt,2400,4,10,2022-06-22,0.12,2,82,2,
5496444,spacious newly renovated 4 bedroom,28506733,Jana,,Södermalms,59.31723,18.03132,Entire home/apt,1900,7,11,2022-01-02,0.13,1,212,1,
5522963,165 sqm in central Stockholm,28641241,Ylva And Roland,,Norrmalms,59.34438,18.06193,Entire home/apt,3150,4,82,2022-06-11,0.95,1,197,10,
5533129,Architectural dream duplex apartment,7351713,Benny,,Norrmalms,59.34757,18.05696,Entire home/apt,1155,20,10,2021-12-19,0.14,1,302,2,
5545190,"Charming apartment, 18min to the city",28751253,Elena,,Skarpnäcks,59.27611,18.12659,Entire home/apt,453,2,31,2022-04-18,0.51,1,0,12,
5559364,Stort lyxigt rum 15 min till city,28820921,Kerstin,,Hägersten-Liljeholmens,59.30024,17.95386,Private room,449,2,126,2022-06-05,1.44,1,323,12,
5559557,"Spacious two-level apartment, nearby the water.",2284827,Anna,,Södermalms,59.30732,18.06689,Entire home/apt,3000,18,4,2018-08-12,0.05,1,0,0,
5564105,"Bright, modern family-friendly flat with balcony",11269521,Mia,,Kungsholmens,59.32951,18.02573,Entire home/apt,2032,5,8,2016-05-21,0.09,1,0,0,
5574577,Lakeside B&B close to city center,28169993,Maria  & Per,,Älvsjö,59.26551,17.97737,Private room,750,1,52,2019-08-17,0.60,1,48,0,
5576409,Flat in central & cosy Mariaberget,16038006,Guillaume,,Södermalms,59.32026,18.0586,Entire home/apt,1405,3,30,2022-04-17,0.35,1,9,5,
5636187,Mitt i Stockholm nära Djurgården,29210804,Kristina,,Östermalms,59.33383,18.08866,Entire home/apt,1200,3,38,2021-09-03,0.45,1,298,1,
